Tree	Island
Spec_30	Hispaniola
Spec_29	Jamaica
Spec_46	Hispaniola
Spec_45	Hispaniola
Spec_1	Hispaniola
Spec_16	Cuba
Spec_15	Cuba
Spec_10	Cuba
Spec_48	Jamaica
Spec_47	Jamaica
Spec_38	Jamaica
Spec_43	Jamaica
Spec_42	Jamaica
Spec_39	Jamaica
Spec_33	Jamaica
Spec_26	Jamaica
Spec_19	Jamaica
Spec_37	Cuba
Spec_36	Cuba
Spec_7	Cuba
Spec_28	Cuba
Spec_27	Cuba
Spec_11	Cuba
Spec_2	Cuba
Spec_4	PuertoRico
Spec_3	Hispaniola
Spec_41	Jamaica
Spec_40	Jamaica
Spec_25	Jamaica
Spec_35	Hispaniola
Spec_34	Hispaniola
Spec_20	Hispaniola
Spec_14	Hispaniola
Spec_32	PuertoRico
Spec_31	PuertoRico
Spec_9	Jamaica
Spec_8	LesserAntilles
Spec_13	PuertoRico
Spec_12	PuertoRico
Spec_18	Cuba
Spec_17	Cuba
Spec_5	Cuba
Spec_50	Cuba
Spec_49	Cuba
Spec_44	Cuba
Spec_24	Jamaica
Spec_6	Bahamas
Spec_23	Mainland
Spec_22	Mainland
Spec_21	Mainland
